data,link_DOE,link_DOE_EXTRA
2020/11/01,False,False
2020/11/02,False,False
2020/11/03,https://drive.google.com/file/d/1OxTgwNIG3xyb_ZuQdP2ntjPaofByKE4s/view?usp=sharing,False
2020/11/04,https://drive.google.com/file/d/1YN978yNqHOZNnUt3R6pMAfQwPduRIBkQ/view?usp=sharing,False
2020/11/05,https://drive.google.com/file/d/1UmUzDV9jlFvCrZRIGHIx2h1TAzjkAbBj/view?usp=sharing,False
2020/11/06,https://drive.google.com/file/d/11urMj8dxdFFAxKKPvQJyCqRuTwYfswI5/view?usp=sharing,https://drive.google.com/file/d/1LOL5h7dPAWVzfzMcUqSd8RxvLVY9Hz5m/view?usp=sharing
2020/11/07,False,False
2020/11/08,False,False
2020/11/09,https://drive.google.com/file/d/1OexKPSGro2weStsxOeUoDzunKgmiWVGo/view?usp=sharing,False
2020/11/10,https://drive.google.com/file/d/1-gjBrgi5u_ldbm9YzvqpKkn7oAnERA-l/view?usp=sharing,https://drive.google.com/file/d/1YmaYIxfmFJucAY_1KG4US0qwPEsxyVk7/view?usp=sharing
2020/11/11,https://drive.google.com/file/d/11GwpTRg50xMd9zklCs4vgJLsNpVz93RD/view?usp=sharing,https://drive.google.com/file/d/19qORhWn0jp2d4Ixgzy8Rub4Dp7A0xthS/view?usp=sharing
2020/11/12,https://drive.google.com/file/d/1JRec8NbmBLdpXioN570jjjatQUjNIWF-/view?usp=sharing,https://drive.google.com/file/d/1KXLAV_VAKHUs_UAz72seVnXH0AX_BbQS/view?usp=sharing
2020/11/13,https://drive.google.com/file/d/1DasZMyqNZ0BPJmrGnuGsYe_UdIgoH2Fh/view?usp=sharing,https://drive.google.com/file/d/1h2KY6Zb--I9jvHKsjJGQvB1a0IWkkgWS/view?usp=sharing
2020/11/14,False,False
2020/11/15,False,False
2020/11/16,https://drive.google.com/file/d/1_S907pvqrImHHzsoxhTWWplm2YWTiJ_N/view?usp=sharing,https://drive.google.com/file/d/13RZf2bs3448hBZX6WZnnXJbTqTm9NUVZ/view?usp=sharing
2020/11/17,https://drive.google.com/file/d/1dqIKhZKCBZbgRMrRqpqeCXCFzwumPlzn/view?usp=sharing,https://drive.google.com/file/d/1z4lLy0KAOfam-o7lTfNqelp6FwlRXQos/view?usp=sharing
2020/11/18,https://drive.google.com/file/d/1vO6cunYA6oWbz_Duczbt9PFB6-ejRgOc/view?usp=sharing,False
2020/11/19,https://drive.google.com/file/d/1BggjST0MjFOvMMAnK9MXtHYLQi-rUyqC/view?usp=sharing,False
2020/11/20,https://drive.google.com/file/d/1_BEF7pIG3Eon5Z3BQZETBtEhg81LiIg1/view?usp=sharing,https://drive.google.com/file/d/1V3XIsNV4r1-m6Mz7QjDRCXYQ0m450GFc/view?usp=sharing
2020/11/21,False,False
2020/11/22,False,False
2020/11/23,https://drive.google.com/file/d/1YUZP2J9FamCDCho1veiIUccbR3FRuM8U/view?usp=sharing,False
2020/11/24,https://drive.google.com/file/d/1yL2P7BTA9Ux-5sGwo6no3qhto9bGWmC2/view?usp=sharing,False
2020/11/25,https://drive.google.com/file/d/1_lIf8sOFLBTca54ht0Lf4E9lbVxL7yU9/view?usp=sharing,False
2020/11/26,https://drive.google.com/file/d/1LnY9rhLO0ahYIEKLHQjpUDkVeJIxcIf1/view?usp=sharing,False
2020/11/27,https://drive.google.com/file/d/1ubFFSJQoN9AJ5gVIlEALTXewBB52Oydv/view?usp=sharing,https://drive.google.com/file/d/11IHsa3zcd019_ypvc16mAaNbOzkJL6T1/view?usp=sharing
2020/11/28,False,False
2020/11/29,False,False
2020/11/30,https://drive.google.com/file/d/1pKOER598OB7k4t6r3RrJrsZTMCw2Z9_5/view?usp=sharing,False
2020/12/01,https://drive.google.com/file/d/17wHvsdBGehl8w49IcSVfneJp357QB-gM/view?usp=sharing,https://drive.google.com/file/d/13qWgKdDxTaGC0bO_3KmjS0TNMMay88XG/view?usp=sharing
2020/12/02,https://drive.google.com/file/d/1IEUN3Ax_nth5_E5Lh9HQMa9vwwBQN5lI/view?usp=sharing,False
2020/12/03,https://drive.google.com/file/d/12Miq6hpIDu8VEUhbL-EJ8RpSGOqP55qY/view?usp=sharing,False
2020/12/04,https://drive.google.com/file/d/1rg1OsRxW2YuCnsov9ORXCD6mT4FLdFzT/view?usp=sharing,False
2020/12/05,False,False
2020/12/06,False,False
2020/12/07,https://drive.google.com/file/d/1KsfpvIdAl5XdKrlXlGfDb31hVj9PuOPu/view?usp=sharing,https://drive.google.com/file/d/1_S-SujqgSHW65RnPOA_9mONt0m8-P324/view?usp=sharing
2020/12/08,https://drive.google.com/file/d/14pBJ9Ivzd2gKB00co3ipQIJWjZITP2pq/view?usp=sharing,https://drive.google.com/file/d/1C0wS3M2Yi7_4TgXc2rvfgg_IPcJbRdJM/view?usp=sharing
2020/12/09,https://drive.google.com/file/d/1BgBaHLGhxpo7HxXPn2SUK33gJpHZoJiZ/view?usp=sharing,False
2020/12/10,https://drive.google.com/file/d/1tq9vKeyFkGwyxW0BpkvQb3fWViPFMuWx/view?usp=sharing,False
2020/12/11,https://drive.google.com/file/d/187AqxUunioFsDwsiws-HU2TuxMCALKVL/view?usp=sharing,False
2020/12/12,False,False
2020/12/13,False,False
2020/12/14,https://drive.google.com/file/d/1BV9YhwvKvrdlSmOhjfADuhG7hVbiEcpn/view?usp=sharing,False
2020/12/15,https://drive.google.com/file/d/1gkHEtGnlvt76ffpFcw8006CzEZBJWczx/view?usp=sharing,https://drive.google.com/file/d/1CCwcDaHUaAp_eXVnmHmRt6MXn9BIFpHK/view?usp=sharing
2020/12/16,https://drive.google.com/file/d/1V10ZfgDEyhyIMZc0qhmbrTaUOTC0o_Ji/view?usp=sharing,False
2020/12/17,https://drive.google.com/file/d/16XksR-WE4ksqJhslpPLSL9XRqFd_Zyjb/view?usp=sharing,False
2020/12/18,https://drive.google.com/file/d/1rHjP1EOBRI4YVgZwAEsr-YcX24E-YwT7/view?usp=sharing,https://drive.google.com/file/d/14MVX_MgHkcZh48-ew8IgCrpviGL8uXbi/view?usp=sharing
2020/12/19,False,False
2020/12/20,False,False
2020/12/21,https://drive.google.com/file/d/1Th1l_xeyUaGxyGXZZ_onxG7Z3CzAxmXc/view?usp=sharing,False
2020/12/22,https://drive.google.com/file/d/11a1DUcYiwa0YwCSRVdjYCs_UEva0NbjX/view?usp=sharing,False
2020/12/23,https://drive.google.com/file/d/1ZlTNEqKxkAIJV-ONdfgzj3XxYA64hbDm/view?usp=sharing,https://drive.google.com/file/d/1cp25K1ToAjsUxah4mkobQ8WMWWbWd5gb/view?usp=sharing
2020/12/24,False,False
2020/12/25,False,False
2020/12/26,False,False
2020/12/27,False,False
2020/12/28,https://drive.google.com/file/d/1iDo3T2Nfk2tABX4NryP3GHlHp56Q0UgR/view?usp=sharing,False
2020/12/29,https://drive.google.com/file/d/104DCn4xTuozSSYeUgDFgoG-Qo4hqOkHw/view?usp=sharing,https://drive.google.com/file/d/1EIN3helbY4xppS8ZJcT4T8WwHNdyocde/view?usp=sharing
2020/12/30,https://drive.google.com/file/d/1NxP0Dw1zfWBxk5DotquwcJ7QiR_UEIa6/view?usp=sharing,https://drive.google.com/file/d/1eDee_n8FwZEbhqkK9SyOqPNlJVkCwzxQ/view?usp=sharing
2020/12/31,False,False
2021/01/01,False,False
2021/01/02,False,False
2021/01/03,False,False
2021/01/04,https://drive.google.com/file/d/1Mpk2MLudnIfl9Cu8P5nWVNFRKHkZL1lK/view?usp=sharing,False
2021/01/05,https://drive.google.com/file/d/1149tP6364Gd-UMZ790AGiTvvwmYJMB-j/view?usp=sharing,False
2021/01/06,https://drive.google.com/file/d/1QV97MquyTz9QhiNx3QTpGD5dvNVhUszZ/view?usp=sharing,False
2021/01/07,https://drive.google.com/file/d/1P-XgcYzW8A2Z7PrQz17azzajRc15qNJR/view?usp=sharing,False
2021/01/08,https://drive.google.com/file/d/19Lf4xcnC4sguWIGfWDKAdJf-hwjMhZUa/view?usp=sharing,https://drive.google.com/file/d/1KiA8Y5E78Oqltv0jsA7XygAttQo2aLqG/view?usp=sharing
2021/01/09,False,False
2021/01/10,False,False
2021/01/11,https://drive.google.com/file/d/1FbKZT0GQgqsbwf_epxB1HfMXUqntV2DX/view?usp=sharing,False
2021/01/12,https://drive.google.com/file/d/1pUlB93sxW-i_3G-5ab0v-OdZ8ACIzV-r/view?usp=sharing,False
2021/01/13,https://drive.google.com/file/d/1242CYDo2QTnaalFmkYcOJ4fUR3pZybO9/view?usp=sharing,False
2021/01/14,https://drive.google.com/file/d/1idjn4_yw9s1rAoRg4SZ5a_5meKb07klx/view?usp=sharing,https://drive.google.com/file/d/1fIoKb4AWHfJMS4qaQD5wn33powLlabD-/view?usp=sharing
2021/01/15,https://drive.google.com/file/d/17XfC2Knvgs-ixZPTjzxGQgNVT2UgP-z8/view?usp=sharing,https://drive.google.com/file/d/1J3WC6dCenwbfDLCXX_u4vrYPZPhVKSNW/view?usp=sharing
2021/01/16,False,False
2021/01/17,False,False
2021/01/18,https://drive.google.com/file/d/1TcbAvla848l131j-QsrrDOcv7s1Kq5Li/view?usp=sharing,False
2021/01/19,https://drive.google.com/file/d/1TWyvBdMuK1R_oOXDEN64d-KDEcnvMSdV/view?usp=sharing,https://drive.google.com/file/d/1Xr5JcXuU6TYwZjHDc9JJ9KUBLB6mFLzU/view?usp=sharing
2021/01/20,https://drive.google.com/file/d/1ubWh0BBM6q-cZZhy49OVrXg8gfYPrDng/view?usp=sharing,False
2021/01/21,https://drive.google.com/file/d/18RLDqAZwJz1v_nTTICeNvEB2pkCU-QBr/view?usp=sharing,False
2021/01/22,https://drive.google.com/file/d/14jRyIo30OeWslhcKthSfV7C6_NFTa6aJ/view?usp=sharing,https://drive.google.com/file/d/10dVboFTSKJIXyFUMtUgohihZIrYFe2Vl/view?usp=sharing
2021/01/23,False,False
2021/01/24,False,False
2021/01/25,https://drive.google.com/file/d/19Nx1UkQZ7j2Do2M_UajVBHc9kItgC8Y1/view?usp=sharing,False
2021/01/26,https://drive.google.com/file/d/1YhoBV9swtMoZNK92cYIUdvvHRhRG8QJh/view?usp=sharing,False
2021/01/27,https://drive.google.com/file/d/1ctO0XHInMZgb1LlLtSUq2aDZ8zHE5umH/view?usp=sharing,False
2021/01/28,https://drive.google.com/file/d/1X8jYzh-_Wo06nXAEqnPNDy4Y1bm0tu7x/view?usp=sharing,https://drive.google.com/file/d/1jROZcivl57csSVPGqhyentE5Ty8rQV3o/view?usp=sharing
2021/01/29,https://drive.google.com/file/d/1OLxW9vSa5adGR6Cw_4r4ni1WSX2OciNY/view?usp=sharing,False
2021/01/30,https://drive.google.com/file/d/1mhMBXQ-LlOgtY-Z5gyP3uQCgzlTYyfeF/view?usp=sharing,False
2021/01/31,False,False
2021/02/01,https://drive.google.com/file/d/1Rqas36wGA0fm-fbOlmAV3w_FMcmBLYXe/view?usp=sharing,False
2021/02/02,https://drive.google.com/file/d/1f5_TnrP-nyX-fgHXnfnnkJUDghsZk0-J/view?usp=sharing,https://drive.google.com/file/d/1kTfz1XKzsE93fwWSErBkXLy-EzQiymRr/view?usp=sharing
2021/02/03,https://drive.google.com/file/d/1LS4hAUfEU8mUpr5Dec32xDgW7KSCisiM/view?usp=sharing,False
2021/02/04,https://drive.google.com/file/d/1Iibvb3wMY2QPD0rzJgHTXc75znQ6XP4w/view?usp=sharing,https://drive.google.com/file/d/1z5PqVs0axAcmxsdCwAqOa0KsO2UjG7Eg/view?usp=sharing
2021/02/05,https://drive.google.com/file/d/1YntYPwvb9frY1EemxsOk5cf8iXt3Fi_g/view?usp=sharing,https://drive.google.com/file/d/1BGxPSsUL_Q29-mucKyxzwWRZMlgg5LrT/view?usp=sharing
2021/02/06,False,False
2021/02/07,False,False
2021/02/08,https://drive.google.com/file/d/1kJfJjBtqsVg2kXmpw1Hytj08dBjKIBvm/view?usp=sharing,False
2021/02/09,https://drive.google.com/file/d/1AQCT-20Rl3b04Z4e1OWzJErbKGDhVjnn/view?usp=sharing,https://drive.google.com/file/d/1kgSvUDbX42RhnWXM-HcZ6tKpD6dRSuZ-/view?usp=sharing
2021/02/10,https://drive.google.com/file/d/1gk2-e9hM2zYd7PjBkSfZMUy6Lg7kl-ss/view?usp=sharing,False
2021/02/11,https://drive.google.com/file/d/1Ad9qDe3jpntWFxyW0i70nEJVJtn2f6M_/view?usp=sharing,False
2021/02/12,https://drive.google.com/file/d/1wtIDMzKaS0WINKRA4X6dBx1Diw53B6he/view?usp=sharing,https://drive.google.com/file/d/1Vby0uM8PkKLVPPQb_Qx8KmmFaRBN_CES/view?usp=sharing
2021/02/13,False,False
2021/02/14,False,False
2021/02/15,https://drive.google.com/file/d/13LxaWiFeQ0V0xk3cApsIv0q46DPcBFIu/view?usp=sharing,False
