data,link_DOE,link_DOE_EXTRA
01/01/2020,-,-
02/01/2020,https://drive.google.com/open?id=1hFqiVyWKNpafR6Hk_Hk3SY8QEIBloJVT,-
03/01/2020,https://drive.google.com/open?id=1GEfWTeQ5gslp1FVQAOpVdKEZ4pSxftSt,-
06/01/2020,https://drive.google.com/open?id=1Mi1YGlIG_Jw_8QNFQJa2fGRPpiAknvv5,-
07/01/2020,https://drive.google.com/open?id=1kBysgeEg0m5QTgMeJwWxBAvVUtLsOwOZ,-
08/01/2020,https://drive.google.com/open?id=1hKWD6sqhCyJH5yFhY20T7IE-dTqvGsHd,-
09/01/2020,https://drive.google.com/open?id=1zTdPttw6Q1U-3bvRMJdjwzuukuvT1Gpz,https://drive.google.com/open?id=1b_Vj8eX9plh8e7LCEGz0qzcEGfWDK5fy
10/01/2020,https://drive.google.com/open?id=1pOVb4EhO-99h2KZG1q84czuh6YBSwfoF,https://drive.google.com/open?id=1AGmESisdIJ1elnfGcPK6pZJdvzohpJo8
13/01/2020,https://drive.google.com/open?id=1MLdq7IKtNooom8MyBOmzyL8e0QugSvgz,-
14/01/2020,https://drive.google.com/open?id=1kUvU0IpwmlLcmd-JLyMscyzlLAbhUSeQ,-
15/01/2020,https://drive.google.com/open?id=1suBgiZPpAoSVP1P1MQ6W_ZmfQ_CMoEYH,-
16/01/2020,https://drive.google.com/open?id=1UhvOW4Qu95dF1xSu0Fgjq0ju38pfkgOX,-
17/01/2020,https://drive.google.com/open?id=1Hc1cHLbM6JAY2pagWVHbahoTScx079_O,https://drive.google.com/open?id=1F9nC9ZbZDBIW8Np6ki1A4v4zOArSzNxd
20/01/2020,https://drive.google.com/open?id=1BVvW3ceTNgws_F6WSpSHkoimpH_FCmms,-
21/01/2020,https://drive.google.com/open?id=1oGrUSt2jiA0OzT8qMTrr-v5KRqxVnvxO,-
22/01/2020,https://drive.google.com/open?id=1aMc75KCKrHLBlaeW-hosXZWKrj68xXos,-
23/01/2020,https://drive.google.com/open?id=1Fg0Ai63RQFBf9egEu_ViMNaebjy9eNs-,-
24/01/2020,https://drive.google.com/open?id=1jf77bOfNOFKZ1fPwKtYry0lDxVXxnk2K,-
27/01/2020,https://drive.google.com/open?id=1xXuXGVSq5I8zUH7bAdgIi7uT_3fXZiQ1,https://drive.google.com/open?id=1PYMWEWTLqETktUrd9oe9_GJZ9QtSZz7t
28/01/2020,https://drive.google.com/open?id=1v5ItP4GQCO96nT39BeXesTZed_qknqgv,https://drive.google.com/open?id=12Of13o6TlupK674Hvo9HFLD1Y0KBcEwP
29/01/2020,https://drive.google.com/open?id=1uPDS_myDtwx77pGdzSrqhZJrEqYUTgMo,-
30/01/2020,https://drive.google.com/open?id=13AL4jstd_amaQ7uCZv0amc-53xRxaCo0,-
31/01/2020,https://drive.google.com/open?id=13tV6JwcEk7Pm30z_iOmanc7USd6bpzuO,https://drive.google.com/open?id=1Sw72Lcl3rSpiRo6qTqd3Vl7yxWG_6CDx
03/02/2020,https://drive.google.com/open?id=1_lREuX2Ipe1jQOZdm-C2n8gVygdkqpey,-
04/02/2020,https://drive.google.com/open?id=15J3GMBiZZ16QkGOXhRlBT7oLL04Z5h04,-
05/02/2020,https://drive.google.com/open?id=1LzKUWk-QAqVM1xYg9_Cl7VY6Xkz6ZboD,-
06/02/2020,https://drive.google.com/open?id=1JwQIjRFIRhlBkaRtlUDEbcXbuZvE_hNc,https://drive.google.com/open?id=16sKNLAnqaokia6TFRoqqDZvXYltP4OlH
07/02/2020,https://drive.google.com/open?id=1ma_1SQHArvZMqElFILmDKyggTljljySO,https://drive.google.com/open?id=1yytzB5fReDX1G3vRyCgMgHwJ7VVL0y5-
10/02/2020,https://drive.google.com/open?id=1LkRZebu_6hikAmWfzm9zlgBXGiPRLP-k,https://drive.google.com/open?id=1WzxQ4kyLXql7hx8MWcbupUUUCGk5FBYx
11/02/2020,https://drive.google.com/open?id=1FNFhcFZ-ukurdyycCKCdwN8eJ0RZBDJ6,https://drive.google.com/open?id=1jVKrPAnh7I2S6tOGT6lBH5s3snJa-wFZ
12/02/2020,https://drive.google.com/open?id=1w5NPxYI5zvaggk243Eqm_1-p4tTfFn5D,-
13/02/2020,https://drive.google.com/open?id=1745bsKFRntBELy_atgIL0tNsih-X_EcG,-
14/02/2020,https://drive.google.com/open?id=1Re4urRDMoXAtROpWY7t26_D-9j0ih1iP,-
17/02/2020,https://drive.google.com/open?id=1nF7Q9P5FNzKxD7iM8FP3y-Bg7LJ7gq8h,-
18/02/2020,https://drive.google.com/open?id=1XgT2rhFjltyUXTVyqRc1QahGGiaWy3Re,-
19/02/2020,https://drive.google.com/open?id=1zkxd5utIW5R5Fh5GZP025eKoa9jIhGBE,https://drive.google.com/open?id=1D5Wvy8NMMjZi0V0hW5ZwhHtTvbH7n5Y8
20/02/2020,https://drive.google.com/open?id=1D7mOY_AU1SakEkqRMFsqyfDWt9KU9Lts,-
21/02/2020,https://drive.google.com/open?id=1xmFGXWelhYcF2WV1RAKsVkaxc8hrQZyu,https://drive.google.com/open?id=1gewNds2NM68FTlNC0ek_ATwksFFzk-5X
24/02/2020,https://drive.google.com/open?id=1HXNLDGLDJ2Wz_Di2mt6FKM1FX2nkp9rN,-
25/02/2020,-,-
26/02/2020,https://drive.google.com/open?id=1QAOeOg7uFlnTZGMjO53nIlGi0TU-w56Y,-
27/02/2020,https://drive.google.com/open?id=1lyed2unmJ8LZ4BEjUGyCs8YsoXfW5PdT,-
28/02/2020,https://drive.google.com/open?id=1Hybc357ykqzRB74YTGZLfs0PD2lFRq2D,-
02/03/2020,https://drive.google.com/open?id=1qUC0XMXqar8NXZLxa5rL5YgFRkG53RHG,-
03/03/2020,https://drive.google.com/open?id=1TDvRQV5wXwHZEgLpyO09rL2295TU7ziy,-
04/03/2020,https://drive.google.com/open?id=1rkW1YJm75Oa2_BXAsyv80_XgoMV1Pil9,https://drive.google.com/open?id=1DA5RQQ78-w0ARNGjMxpbsPc7qMzQCrLF
