data,n_aparicoes,pgs
2008-01-02,1,[4]
2008-01-03,1,[4]
2008-01-04,1,[4]
2008-01-07,8,"[1, 4, 9]"
2008-01-09,5,[10]
2008-01-10,3,"[11, 4]"
2008-01-11,7,"[1, 10, 11, 4]"
2008-01-14,12,"[8, 4, 12]"
2008-01-15,2,"[8, 4]"
2008-01-16,15,"[13, 4, 12]"
2008-01-17,7,"[11, 4, 12]"
2008-01-18,5,"[4, 14, 15]"
2008-01-21,5,"[11, 4, 5]"
2008-01-22,1,[4]
2008-01-23,1,[4]
2008-01-24,1,[4]
2008-01-25,5,"[18, 4, 42]"
2008-01-28,5,"[10, 4]"
2008-01-29,11,"[10, 4, 14]"
2008-01-30,3,"[10, 4, 29]"
2008-01-31,2,"[4, 14]"
2008-02-01,5,"[16, 4, 14, 15]"
2008-02-06,1,[4]
2008-02-07,1,[4]
2008-02-08,14,"[58, 59, 4]"
2008-02-11,1,[4]
2008-02-12,1,[4]
2008-02-13,5,"[48, 4]"
2008-02-14,1,[4]
2008-02-15,14,"[21, 4, 12, 30]"
2008-02-18,5,"[4, 12, 6]"
2008-02-19,3,"[4, 15]"
2008-02-20,5,"[10, 4]"
2008-02-21,3,"[4, 15]"
2008-02-22,1,[4]
2008-02-25,3,"[4, 12]"
2008-02-26,1,[4]
2008-02-27,3,"[4, 37]"
2008-02-28,1,[4]
2008-02-29,4,"[16, 4, 5]"
2008-03-03,3,"[4, 28]"
2008-03-04,1,[4]
2008-03-05,5,"[16, 4]"
2008-03-06,7,"[4, 21, 30]"
2008-03-07,1,[4]
2008-03-10,1,[4]
2008-03-11,10,"[4, 69, 9, 77, 45, 85]"
2008-03-12,1,[4]
2008-03-13,1,[4]
2008-03-14,2,"[4, 14]"
2008-03-17,5,"[4, 6, 14]"
2008-03-18,3,"[11, 4]"
2008-03-19,9,"[1, 10, 11, 4]"
2008-03-20,2,"[11, 4]"
2008-03-24,3,"[19, 4]"
2008-03-25,5,"[4, 12]"
2008-03-26,5,"[4, 6, 14]"
2008-03-27,3,"[10, 11, 4]"
2008-03-28,1,[4]
2008-03-31,3,"[11, 4]"
2008-04-01,5,"[4, 5]"
2008-04-02,1,[4]
2008-04-03,3,"[19, 4]"
2008-04-04,1,[4]
2008-04-07,1,[4]
2008-04-08,3,"[19, 4]"
2008-04-09,3,"[4, 13]"
2008-04-10,9,"[40, 4, 36, 39]"
2008-04-11,4,"[24, 51, 4]"
2008-04-14,1,[4]
2008-04-15,4,"[4, 12]"
2008-04-16,3,"[17, 11, 4]"
2008-04-17,5,"[17, 4, 22]"
2008-04-18,5,"[4, 22]"
2008-04-22,2,"[4, 5]"
2008-04-23,2,"[4, 21]"
2008-04-24,13,"[24, 4, 21]"
2008-04-25,5,"[8, 19, 4, 7]"
2008-04-28,4,"[12, 27, 4, 5]"
2008-04-29,3,"[10, 4, 14]"
2008-04-30,1,[4]
2008-05-02,5,"[4, 20]"
2008-05-05,1,[4]
2008-05-06,1,[4]
2008-05-07,5,"[4, 21]"
2008-05-08,6,"[18, 4]"
2008-05-09,5,"[4, 52, 6, 14]"
2008-05-12,2,"[10, 4]"
2008-05-13,3,"[4, 15]"
2008-05-14,1,[4]
2008-05-15,6,"[1, 4, 5, 7]"
2008-05-16,10,"[10, 11, 4]"
2008-05-19,2,"[4, 77]"
2008-05-20,4,"[4, 14]"
2008-05-21,7,"[1, 4, 61, 62]"
2008-05-23,10,"[1, 4, 37, 38, 42]"
2008-05-26,9,"[22, 6, 15]"
2008-05-27,1,[13]
2008-05-28,4,"[56, 50, 54, 55]"
2008-05-29,7,"[98, 8, 21, 25, 26, 92, 31]"
2008-05-30,2,"[19, 5]"
2008-06-02,2,[13]
2008-06-03,2,[35]
2008-06-04,31,"[1, 4, 26, 27, 28, 29]"
2008-06-05,3,"[18, 19, 4]"
2008-06-06,4,"[4, 22, 6, 15]"
2008-06-09,6,"[21, 4, 20]"
2008-06-10,1,[4]
2008-06-11,2,"[4, 14]"
2008-06-12,1,[4]
2008-06-13,10,"[34, 4]"
2008-06-16,7,"[4, 6, 22]"
2008-06-17,3,"[11, 4]"
2008-06-18,2,"[4, 39]"
2008-06-19,39,"[1, 4, 10, 11, 12]"
2008-06-20,2,"[17, 4]"
2008-06-23,2,"[17, 4]"
2008-06-24,1,[4]
2008-06-25,3,"[4, 12]"
2008-06-26,2,"[18, 4]"
2008-06-27,3,"[19, 4]"
2008-06-30,12,"[25, 26, 4, 23]"
2008-07-01,3,"[64, 65, 4]"
2008-07-02,5,"[43, 4]"
2008-07-03,4,"[19, 4]"
2008-07-04,4,"[42, 4, 5]"
2008-07-07,3,"[4, 22]"
2008-07-08,4,"[11, 4, 12]"
2008-07-09,3,"[4, 52]"
2008-07-10,13,"[8, 18, 4, 12]"
2008-07-11,3,"[4, 6]"
2008-07-14,4,"[19, 4]"
2008-07-15,16,"[16, 1, 4, 17]"
2008-07-16,9,"[64, 4, 8, 9, 59, 29]"
2008-07-17,9,"[4, 5, 6]"
2008-07-18,8,"[1, 4, 22]"
2008-07-21,4,"[17, 4, 41]"
2008-07-22,2,"[17, 4]"
2008-07-23,13,"[4, 13, 6]"
2008-07-24,1,[4]
2008-07-25,1,[4]
2008-07-28,1,[4]
2008-07-29,1,[4]
2008-07-30,7,"[4, 29]"
2008-07-31,4,"[35, 4]"
2008-08-01,2,"[10, 4]"
2008-08-04,8,"[4, 5]"
2008-08-05,10,"[16, 4, 15]"
